Host,Memory Usage,CPU Usage,Primary Sent,Primary Received,Primary Speed,Secondary Received,Secondary Sent,Secondary Speed
BR-C002-MAIN,69.5,47.13,87.39 Kbps,143.96 Kbps,2.00 Mbps,285.71 Kbps,76.63 Kbps,5.00 Mbps
BR-C003-NPADA,53.05,50.74,224.10 Kbps,513.85 Kbps,10.00 Mbps,2.33 Mbps,428.37 Kbps,10.00 Mbps
BR-C004-WGEST,57.42,47.94,111.84 Kbps,190.07 Kbps,4.00 Mbps,266.23 Kbps,52.09 Kbps,2.00 Mbps
BR-C005-RABOD,69.49,46.07,88.53 Kbps,188.11 Kbps,2.00 Mbps,264.42 Kbps,69.18 Kbps,2.00 Mbps
BR-C006-KOPRI,56.64,47.62,89.91 Kbps,154.99 Kbps,4.00 Mbps,278.39 Kbps,66.55 Kbps,2.00 Mbps
BR-C007-VRTNG,53.32,47.04,96.53 Kbps,197.43 Kbps,2.00 Mbps,334.41 Kbps,82.14 Kbps,2.00 Mbps
BR-C008-PCPKD,66.37,47,91.13 Kbps,206.33 Kbps,5.00 Mbps,216.53 Kbps,75.69 Kbps,10.00 Mbps
BR-C009-KHOPT,69.36,48.3,91.75 Kbps,151.41 Kbps,4.00 Mbps,195.97 Kbps,69.27 Kbps,10.00 Mbps
BR-C010-AIRLI,56,46.13,43.07 Kbps,85.72 Kbps,4.00 Mbps,215.98 Kbps,60.20 Kbps,2.00 Mbps
BR-C011-SHRNG,58.53,50.08,69.03 Kbps,254.07 Kbps,10.00 Mbps,264.54 Kbps,216.45 Kbps,5.00 Mbps
BR-C012-VAS17,58.66,46.17,0.09 Kbps,0.00 Kbps,2.00 Mbps,318.32 Kbps,106.85 Kbps,10.00 Mbps
BR-C013-MULUW,58.96,47.34,49.97 Kbps,182.05 Kbps,4.00 Mbps,105.52 Kbps,66.30 Kbps,2.00 Mbps
BR-C014-KALWA,65.38,47.65,61.31 Kbps,118.59 Kbps,4.00 Mbps,105.51 Kbps,49.97 Kbps,2.00 Mbps
BR-C015-GKPE,60.09,47.49,63.95 Kbps,103.25 Kbps,10.00 Mbps,182.81 Kbps,82.17 Kbps,5.00 Mbps
BR-C016-SHRPR,63.33,47.32,49.67 Kbps,108.39 Kbps,2.00 Mbps,166.31 Kbps,66.02 Kbps,2.00 Mbps
BR-C017-DECAN,64.59,47.21,52.01 Kbps,145.08 Kbps,4.00 Mbps,231.74 Kbps,87.24 Kbps,2.00 Mbps
BR-C018-SDPET,57.65,46.25,38.51 Kbps,75.75 Kbps,2.00 Mbps,115.92 Kbps,44.29 Kbps,5.00 Mbps
BR-C019-VILEP,53.98,46.93,58.13 Kbps,87.47 Kbps,2.00 Mbps,265.83 Kbps,78.84 Kbps,15.00 Mbps
BR-C020-DOMBE,54.66,46.61,56.36 Kbps,172.93 Kbps,4.00 Mbps,102.12 Kbps,55.80 Kbps,5.00 Mbps
BR-C021-GANGA,54.93,47.08,57.24 Kbps,91.18 Kbps,10.00 Mbps,182.89 Kbps,40.79 Kbps,10.00 Mbps
BR-C022-GHODB,68.59,47.9,76.30 Kbps,122.69 Kbps,4.00 Mbps,240.13 Kbps,69.28 Kbps,10.00 Mbps
BR-C023-GOREG,70.69,46.73,41.81 Kbps,71.17 Kbps,4.00 Mbps,95.37 Kbps,47.73 Kbps,10.00 Mbps
BR-C024-BORIW,54.21,47.37,43.63 Kbps,76.37 Kbps,2.00 Mbps,104.08 Kbps,44.57 Kbps,15.00 Mbps
BR-C025-NARHE,70.29,47.17,41.87 Kbps,58.39 Kbps,2.00 Mbps,162.87 Kbps,37.15 Kbps,2.00 Mbps
BR-C028-YERWD,57.62,45.59,39.74 Kbps,70.16 Kbps,4.00 Mbps,83.22 Kbps,34.29 Kbps,2.00 Mbps
BR-C029-ALAND,64.96,45.6,35.66 Kbps,80.66 Kbps,4.00 Mbps,94.99 Kbps,40.56 Kbps,2.00 Mbps
BR-C031-CHCWD,46.63,47.38,54.03 Kbps,98.86 Kbps,2.00 Mbps,164.07 Kbps,59.21 Kbps,15.00 Mbps
BR-C032-DEHRD,51.91,47.5,47.28 Kbps,103.06 Kbps,4.00 Mbps,111.42 Kbps,84.16 Kbps,2.00 Mbps
BR-C034-BHSRI,57.91,48.37,76.22 Kbps,140.26 Kbps,2.00 Mbps,407.16 Kbps,160.79 Kbps,15.00 Mbps
BR-C035-PMPRI,69.84,46.81,39.78 Kbps,93.09 Kbps,2.00 Mbps,120.31 Kbps,58.03 Kbps,5.00 Mbps
BR-C036-MYARD,55.85,46.91,51.66 Kbps,107.39 Kbps,4.00 Mbps,230.56 Kbps,67.10 Kbps,2.00 Mbps
BR-C037-CHAKN,56.89,46.65,46.96 Kbps,88.82 Kbps,4.00 Mbps,77.41 Kbps,37.41 Kbps,2.00 Mbps
BR-C038-THRGN,63.58,46.26,31.46 Kbps,89.14 Kbps,2.00 Mbps,105.77 Kbps,53.30 Kbps,5.00 Mbps
BR-C040-NIGDI,55.69,46.13,62.38 Kbps,126.83 Kbps,4.00 Mbps,176.89 Kbps,29.75 Kbps,10.00 Mbps
BR-C042-MSLCL,61.06,46.81,35.38 Kbps,82.22 Kbps,2.00 Mbps,90.41 Kbps,35.33 Kbps,2.00 Mbps
