Last Updated,Branch,System IP,Hostname,Tunnel,State,Type
02-02-2026 17:24:54,Main Old,192.168.222.177,BR-C002-MAIN,192.168.222.177:Airtel ? 192.168.222.1:Airtel,UP,RECOVERED
02-02-2026 17:24:54,Main Old,192.168.222.177,BR-C002-MAIN,192.168.222.177:Airtel ? 192.168.222.2:Airtel,UP,RECOVERED
02-02-2026 17:24:55,Wagle(tiptop),192.168.222.23,BR-C004-WGEST,192.168.222.23:TCL ? 192.168.222.1:TCL,UP,RECOVERED
02-02-2026 17:24:55,Wagle(tiptop),192.168.222.23,BR-C004-WGEST,192.168.222.23:TCL ? 192.168.222.2:TCL,UP,RECOVERED
02-02-2026 17:24:55,Wagle(tiptop),192.168.222.23,BR-C004-WGEST,192.168.222.23:TCL ? 192.168.222.3:TCL,UP,RECOVERED
02-02-2026 17:24:55,Wagle(tiptop),192.168.222.23,BR-C004-WGEST,192.168.222.23:TCL ? 192.168.222.4:TCL,UP,RECOVERED
02-02-2026 17:24:55,Wagle(tiptop),192.168.222.23,BR-C004-WGEST,192.168.222.23:Airtel ? 192.168.222.2:Airtel,UP,RECOVERED
02-02-2026 17:25:01,Kopri,192.168.222.25,BR-C006-KOPRI,192.168.222.25:TCL ? 192.168.222.1:TCL,UP,RECOVERED
02-02-2026 17:25:01,Kopri,192.168.222.25,BR-C006-KOPRI,192.168.222.25:TCL ? 192.168.222.2:TCL,UP,RECOVERED
02-02-2026 17:28:34,Belavli,192.168.222.130,BR-C130-BELVL,192.168.222.130:Airtel ? 192.168.222.1:Airtel,DOWN,INITIAL
02-02-2026 17:28:34,Belavli,192.168.222.130,BR-C130-BELVL,192.168.222.130:Airtel ? 192.168.222.1:Airtel,DOWN,CHANGED
02-02-2026 17:28:34,Belavli,192.168.222.130,BR-C130-BELVL,192.168.222.130:Airtel ? 192.168.222.2:Airtel,DOWN,INITIAL
02-02-2026 17:28:34,Belavli,192.168.222.130,BR-C130-BELVL,192.168.222.130:Airtel ? 192.168.222.2:Airtel,DOWN,CHANGED
02-02-2026 17:28:34,Belavli,192.168.222.130,BR-C130-BELVL,192.168.222.130:Airtel ? 192.168.222.3:Airtel,DOWN,INITIAL
02-02-2026 17:28:34,Belavli,192.168.222.130,BR-C130-BELVL,192.168.222.130:Airtel ? 192.168.222.3:Airtel,DOWN,CHANGED
02-02-2026 17:28:34,Belavli,192.168.222.130,BR-C130-BELVL,192.168.222.130:Airtel ? 192.168.222.4:Airtel,DOWN,INITIAL
02-02-2026 17:28:34,Belavli,192.168.222.130,BR-C130-BELVL,192.168.222.130:Airtel ? 192.168.222.4:Airtel,DOWN,CHANGED
02-02-2026 17:30:26,Thane NOC/DC,192.168.222.1,DC-THANE-C83K-R1,192.168.222.1:Biz-Internet ? 192.168.222.173:Biz-Internet,UP,RECOVERED
02-02-2026 17:30:26,Thane NOC/DC,192.168.222.1,DC-THANE-C83K-R1,192.168.222.1:Biz-Internet ? 192.168.222.173:Local ISP,DOWN,INITIAL
02-02-2026 17:30:26,Thane NOC/DC,192.168.222.1,DC-THANE-C83K-R1,192.168.222.1:Sify ? 192.168.222.201:Sify,UP,RECOVERED
02-02-2026 17:30:26,Thane NOC/DC,192.168.222.1,DC-THANE-C83K-R1,192.168.222.1:TTML ? 192.168.222.199:TTML,DOWN,INITIAL
02-02-2026 17:30:29,Thane NOC/DC,192.168.222.2,DC-THANE-C83K-R2,192.168.222.2:Biz-Internet ? 192.168.222.173:Biz-Internet,UP,RECOVERED
