Hostname,Memory utilization,CPU utilization,"Interface [""GigabitEthernet0/0/0""]: Bits sent","Interface [""GigabitEthernet0/0/0""]: Bits received","Interface [""GigabitEthernet0/0/1""]: Bits received","Interface [""GigabitEthernet0/0/1""]: Bits sent"
BR-C002-MAIN,69.47,46.98,64.87 Kbps,117.27 Kbps,318.07 Kbps,72.02 Kbps
BR-C003-NPADA,52.44,49.92,148.60 Kbps,466.71 Kbps,2.39 Mbps,408.79 Kbps
BR-C004-WGEST,57.46,47.72,89.69 Kbps,167.83 Kbps,303.31 Kbps,48.39 Kbps
BR-C005-RABOD,69.09,45.92,57.94 Kbps,148.62 Kbps,313.84 Kbps,61.10 Kbps
BR-C006-KOPRI,56.51,47.26,68.57 Kbps,131.75 Kbps,306.07 Kbps,62.36 Kbps
BR-C007-VRTNG,53.5,46.89,85.31 Kbps,183.98 Kbps,372.05 Kbps,76.76 Kbps
BR-C008-PCPKD,66.17,46.76,77.08 Kbps,203.11 Kbps,228.27 Kbps,71.79 Kbps
BR-C009-KHOPT,69.32,48.04,64.31 Kbps,127.26 Kbps,191.34 Kbps,58.04 Kbps
BR-C010-AIRLI,55.77,46.11,37.89 Kbps,75.58 Kbps,263.54 Kbps,58.47 Kbps
BR-C011-SHRNG,58.37,49.87,57.99 Kbps,244.01 Kbps,261.02 Kbps,206.01 Kbps
BR-C012-VAS17,58.51,45.85,0.09 Kbps,0.00 Kbps,309.47 Kbps,87.55 Kbps
BR-C013-MULUW,58.6,47.15,36.35 Kbps,221.40 Kbps,94.85 Kbps,60.27 Kbps
BR-C014-KALWA,65.19,47.59,58.33 Kbps,124.26 Kbps,133.64 Kbps,46.15 Kbps
BR-C015-GKPE,59.55,47.26,47.10 Kbps,100.93 Kbps,174.61 Kbps,79.59 Kbps
BR-C016-SHRPR,63.06,47.13,40.85 Kbps,103.63 Kbps,182.75 Kbps,62.60 Kbps
BR-C017-DECAN,64.42,47.25,48.01 Kbps,245.88 Kbps,308.46 Kbps,77.71 Kbps
BR-C018-SDPET,57.71,46.15,32.79 Kbps,68.02 Kbps,118.81 Kbps,40.77 Kbps
BR-C019-VILEP,53.83,46.6,41.67 Kbps,70.82 Kbps,304.88 Kbps,74.95 Kbps
BR-C020-DOMBE,54.33,46.42,46.44 Kbps,185.09 Kbps,99.32 Kbps,50.41 Kbps
BR-C021-GANGA,54.96,46.9,47.56 Kbps,81.59 Kbps,228.75 Kbps,38.47 Kbps
BR-C022-GHODB,68.27,47.81,55.17 Kbps,106.75 Kbps,279.84 Kbps,63.21 Kbps
BR-C023-GOREG,70.64,46.65,35.19 Kbps,66.55 Kbps,107.50 Kbps,44.94 Kbps
BR-C024-BORIW,54.09,47.31,40.57 Kbps,73.93 Kbps,109.20 Kbps,43.00 Kbps
BR-C025-NARHE,70.24,47.15,36.66 Kbps,56.80 Kbps,209.26 Kbps,36.96 Kbps
BR-C028-YERWD,57.44,45.42,37.08 Kbps,67.23 Kbps,75.99 Kbps,27.51 Kbps
BR-C029-ALAND,64.66,45.57,34.27 Kbps,75.68 Kbps,109.35 Kbps,38.16 Kbps
BR-C031-CHCWD,46.41,47.17,46.61 Kbps,89.99 Kbps,171.38 Kbps,48.33 Kbps
BR-C032-DEHRD,51.34,46.76,41.34 Kbps,109.30 Kbps,106.50 Kbps,59.09 Kbps
BR-C034-BHSRI,58,47.87,53.86 Kbps,122.06 Kbps,403.07 Kbps,133.83 Kbps
BR-C035-PMPRI,69.8,46.71,32.32 Kbps,89.68 Kbps,134.33 Kbps,50.60 Kbps
BR-C036-MYARD,56.06,46.64,38.93 Kbps,98.17 Kbps,266.06 Kbps,60.58 Kbps
BR-C037-CHAKN,57.03,46.58,42.32 Kbps,98.39 Kbps,93.81 Kbps,33.86 Kbps
BR-C038-THRGN,63.49,46.19,26.30 Kbps,111.10 Kbps,103.53 Kbps,50.43 Kbps
BR-C040-NIGDI,55.56,46.07,46.47 Kbps,99.80 Kbps,261.65 Kbps,38.16 Kbps
BR-C042-MSLCL,60.77,46.84,32.46 Kbps,125.66 Kbps,84.10 Kbps,36.34 Kbps
BR-C044-SMBNG,54.59,45.93,44.49 Kbps,189.17 Kbps,156.73 Kbps,43.32 Kbps
BR-C045-AMBAD,58.61,47.22,53.12 Kbps,126.47 Kbps,488.27 Kbps,78.44 Kbps
BR-C046-POKRN,52.76,47.55,78.08 Kbps,149.98 Kbps,227.26 Kbps,80.96 Kbps
BR-C047-BHWDI,50.68,47.15,58.63 Kbps,117.09 Kbps,154.66 Kbps,40.69 Kbps
BR-C048-CHMBR,57.5,47.04,39.21 Kbps,89.20 Kbps,122.28 Kbps,63.65 Kbps
BR-C049-NPNVL-NEW,52.2,44.7,34.22 Kbps,52.00 Kbps,107.90 Kbps,32.37 Kbps
BR-C050-IDRNG,62.86,47.79,51.22 Kbps,94.91 Kbps,242.72 Kbps,44.63 Kbps
BR-C051-CHRKP,57.44,46.89,42.92 Kbps,208.46 Kbps,108.08 Kbps,39.43 Kbps
BR-C052-AMBTH,56.73,46.16,30.68 Kbps,69.74 Kbps,249.91 Kbps,68.39 Kbps
BR-C053-BHNDP,54.6,46.43,54.00 Kbps,216.86 Kbps,106.15 Kbps,31.59 Kbps
BR-C054-MIRRD,56.46,46,58.09 Kbps,236.35 Kbps,35.28 Kbps,15.75 Kbps
BR-C055-SATRA,51.34,45.65,31.02 Kbps,56.58 Kbps,112.18 Kbps,39.68 Kbps
BR-C056-WNWDI,70.6,46.37,36.14 Kbps,55.35 Kbps,221.75 Kbps,33.77 Kbps
BR-C057-KTHRD,62.75,47.74,33.27 Kbps,131.47 Kbps,174.95 Kbps,52.32 Kbps
BR-C058-KLYNR,52.96,45.95,48.29 Kbps,103.55 Kbps,272.69 Kbps,51.68 Kbps
BR-C059-BDLPR,57.19,47.99,55.31 Kbps,90.24 Kbps,278.71 Kbps,45.68 Kbps
BR-C070-RVKRJ,51.8,47.29,38.16 Kbps,58.65 Kbps,106.40 Kbps,32.30 Kbps
BR-C071-ANDRI,52.1,46.14,45.75 Kbps,82.19 Kbps,204.82 Kbps,71.45 Kbps
BR-C072-VAS12,57.31,47.2,26.73 Kbps,49.92 Kbps,175.75 Kbps,49.20 Kbps
BR-C073-PTLPD,52.22,46.04,44.16 Kbps,88.61 Kbps,279.48 Kbps,51.73 Kbps
BR-C074-MAPSA,53.75,46.38,33.84 Kbps,67.58 Kbps,230.64 Kbps,48.20 Kbps
BR-C075-KRWDL,70.2,47.48,29.29 Kbps,64.59 Kbps,206.37 Kbps,59.00 Kbps
BR-C076-BELGN,62.17,48.08,23.06 Kbps,73.39 Kbps,217.25 Kbps,51.90 Kbps
BR-C077-ARGBD,57.35,45.83,43.47 Kbps,53.60 Kbps,100.58 Kbps,35.99 Kbps
BR-C078-DADAR,53.87,45.77,33.37 Kbps,54.95 Kbps,308.50 Kbps,53.35 Kbps
BR-C079-LATUR,70.47,47.07,35.19 Kbps,50.02 Kbps,145.58 Kbps,39.22 Kbps
BR-C080-KLHPR,59.87,45.02,35.69 Kbps,53.60 Kbps,100.89 Kbps,32.75 Kbps
BR-C081-SGDRD,69.29,45.17,35.39 Kbps,50.91 Kbps,60.47 Kbps,28.01 Kbps
BR-C082-NAGPUR,59.47,48.14,57.49 Kbps,96.34 Kbps,247.32 Kbps,67.62 Kbps
BR-C083-RABLE,56.53,45.52,34.61 Kbps,66.82 Kbps,111.65 Kbps,56.39 Kbps
BR-C084-DNKWD,58.41,45.16,27.69 Kbps,54.24 Kbps,179.50 Kbps,40.82 Kbps
BR-C085-CHPLN,58.62,47,39.88 Kbps,57.00 Kbps,240.59 Kbps,41.22 Kbps
BR-C086-JALNA,68.62,45.89,24.12 Kbps,46.20 Kbps,94.59 Kbps,36.04 Kbps
BR-C087-SANGL,68.41,47.14,31.70 Kbps,87.72 Kbps,92.41 Kbps,36.93 Kbps
BR-C088-KDKPD,70.54,47.32,36.88 Kbps,65.49 Kbps,130.52 Kbps,42.10 Kbps
BR-C089-CHDVL,51.62,45.56,31.43 Kbps,75.37 Kbps,228.71 Kbps,57.16 Kbps
BR-C090-BOISR,56.72,45.52,28.06 Kbps,50.36 Kbps,122.49 Kbps,36.80 Kbps
BR-C091-KUDUS,60.79,47.31,40.97 Kbps,54.91 Kbps,178.33 Kbps,41.39 Kbps
BR-C092-PHNDA,58.42,47.67,45.72 Kbps,96.14 Kbps,231.86 Kbps,45.59 Kbps
BR-C093-MDGON,53.74,45.79,39.49 Kbps,170.83 Kbps,89.75 Kbps,48.45 Kbps
BR-C094-MHTNG,60.15,45.33,28.26 Kbps,119.86 Kbps,55.47 Kbps,39.45 Kbps
BR-C095-PEN,58.36,46.07,31.82 Kbps,55.63 Kbps,266.74 Kbps,47.01 Kbps
BR-C096-AKOLA,51.13,47.69,40.17 Kbps,98.62 Kbps,107.37 Kbps,33.13 Kbps
BR-C097-SLPUR,58.04,46.53,28.64 Kbps,57.36 Kbps,149.67 Kbps,52.12 Kbps
BR-C098-SURAT,64.78,47.37,51.32 Kbps,140.13 Kbps,197.04 Kbps,70.50 Kbps
BR-C099-VDDRA,69.81,45.66,33.92 Kbps,62.49 Kbps,235.76 Kbps,58.31 Kbps
BR-C100-AHMBD,58.71,45.3,36.10 Kbps,40.90 Kbps,81.48 Kbps,29.10 Kbps
BR-C101-JYNGR,44.75,45.12,63.83 Kbps,141.35 Kbps,11.55 Kbps,5.25 Kbps
BR-C103-LOSWD,52.94,49.1,96.78 Kbps,364.61 Kbps,496.08 Kbps,77.59 Kbps
BR-C104-DOMBW,59.82,46.59,48.54 Kbps,80.58 Kbps,87.91 Kbps,32.10 Kbps
BR-C105-SHPUR,70.18,45.37,29.50 Kbps,49.37 Kbps,110.40 Kbps,37.37 Kbps
BR-C106-MULUE,62.25,46.71,32.13 Kbps,101.53 Kbps,185.09 Kbps,60.00 Kbps
BR-C108-ULNGR,66.6,47.58,33.06 Kbps,155.26 Kbps,165.30 Kbps,52.57 Kbps
BR-C109-HUBLI,70.31,45.18,32.33 Kbps,56.51 Kbps,70.71 Kbps,32.86 Kbps
BR-C110-KRVNG,56.61,47.66,39.89 Kbps,66.16 Kbps,221.18 Kbps,45.45 Kbps
BR-C111-RAJKT,70.69,46.35,39.68 Kbps,149.81 Kbps,213.74 Kbps,119.10 Kbps
BR-C112-STRTM,69.93,47.28,29.11 Kbps,50.58 Kbps,133.53 Kbps,39.61 Kbps
BR-C113-AHDNG,70.26,46.19,29.65 Kbps,73.97 Kbps,153.82 Kbps,59.48 Kbps
BR-C114-NNDED,70.3,47.42,27.88 Kbps,52.27 Kbps,169.88 Kbps,41.30 Kbps
BR-C115-RJJNG,57.91,45.73,29.38 Kbps,41.53 Kbps,88.75 Kbps,30.02 Kbps
BR-C116-PRJNG,58.31,45.66,36.51 Kbps,111.13 Kbps,233.92 Kbps,30.82 Kbps
BR-C117-CNAVE,65.28,47.74,32.95 Kbps,51.43 Kbps,224.78 Kbps,48.77 Kbps
BR-C118-PRHNG,70.11,47.58,29.07 Kbps,107.95 Kbps,103.17 Kbps,47.73 Kbps
BR-C119-ICLKR,57.42,46.21,24.75 Kbps,52.95 Kbps,60.59 Kbps,39.62 Kbps
BR-C120-AMRVT,63.35,47.56,36.65 Kbps,58.83 Kbps,181.65 Kbps,41.63 Kbps
BR-C121-DHKLI,70.73,46.7,99.29 Kbps,269.08 Kbps,68.92 Kbps,21.12 Kbps
BR-C122-TRBPK,59.46,45.58,34.05 Kbps,52.97 Kbps,107.63 Kbps,31.24 Kbps
BR-C124-VKRLI,70.59,45.79,75.50 Kbps,106.27 Kbps,235.51 Kbps,50.10 Kbps
BR-C125-DHSAR,69.98,47.2,33.23 Kbps,58.14 Kbps,98.54 Kbps,32.71 Kbps
BR-C126-SKWRPT,53.16,46.62,31.67 Kbps,55.12 Kbps,104.17 Kbps,36.32 Kbps
BR-C127-MJLPUR,51.8,47.24,20.15 Kbps,31.84 Kbps,109.93 Kbps,62.35 Kbps
BR-C128-TITWL,69.4,46.73,43.96 Kbps,114.76 Kbps,204.67 Kbps,44.14 Kbps
BR-C129-MMBRA,57.67,47.6,30.65 Kbps,99.93 Kbps,144.51 Kbps,50.60 Kbps
BR-C130-BELVL,69.67,46.15,44.96 Kbps,65.83 Kbps,224.44 Kbps,38.92 Kbps
BR-C131-VAPI,65.82,45.33,32.07 Kbps,54.58 Kbps,191.52 Kbps,44.15 Kbps
BR-C132-SINNR,53.63,46.92,28.05 Kbps,48.27 Kbps,71.48 Kbps,36.80 Kbps
BR-C133-NLSPR,64.91,52.14,125.79 Kbps,242.16 Kbps,43.58 Kbps,6.09 Kbps
BR-C134-VIRAR,58.25,45.45,28.90 Kbps,59.45 Kbps,238.94 Kbps,56.44 Kbps
BR-C135-PLGHR,56.17,46,66.18 Kbps,240.00 Kbps,22.12 Kbps,14.75 Kbps
BR-C136-MORBI,55.65,45.63,35.53 Kbps,55.42 Kbps,54.35 Kbps,29.03 Kbps
BR-C137-SANPD,70.09,46.92,76.96 Kbps,92.07 Kbps,266.44 Kbps,54.78 Kbps
BR-C138-SENBP,65.08,46.78,26.10 Kbps,45.35 Kbps,108.06 Kbps,38.28 Kbps
BR-C139-RAVET,70.15,46.17,34.64 Kbps,155.62 Kbps,62.66 Kbps,39.99 Kbps
BR-C140-VASCO,55.62,47.51,41.24 Kbps,155.10 Kbps,180.39 Kbps,53.22 Kbps
BR-C141-KRWAR,57.69,46.77,29.75 Kbps,163.83 Kbps,158.64 Kbps,41.49 Kbps
BR-C143-KMOTH,58.79,45.82,25.92 Kbps,61.74 Kbps,81.73 Kbps,31.11 Kbps
BR-C144-PURNA,65.04,45.54,35.14 Kbps,75.05 Kbps,210.02 Kbps,39.87 Kbps
BR-C146-GANDHI,52.96,46.76,28.49 Kbps,48.33 Kbps,214.09 Kbps,43.36 Kbps
BR-C147-MJWAD,51.03,45.55,39.66 Kbps,123.41 Kbps,151.42 Kbps,39.91 Kbps
BR-C148-NSKRD,67.14,45.19,36.79 Kbps,60.33 Kbps,49.24 Kbps,28.85 Kbps
BR-C149-BORIE,56.19,46.44,39.62 Kbps,59.70 Kbps,223.04 Kbps,34.36 Kbps
BR-C150-VRCRD,58.35,45.26,29.23 Kbps,54.02 Kbps,172.15 Kbps,44.49 Kbps
